X annular - slug churn,Y annular - slug churn,X bubbly - slug churn,Y bubbly - slug churn,X slug - churn,Y slug - churn,X slug - churn - line2,Y slug - churn - line 2
0.0117730977078687,3.2169068297261267,0.5010917539008579,0.0832624978441372,1.3849598858219716,0.99661690436527,2.2666130564787763,0.9962143567218746
0.0173413004669319,3.4076570302999443,0.5203890648787791,0.1515793918687699,1.8025086600789064,0.973439991769124,2.98908912964211,0.9722156489531356
0.0258904378869288,3.307071720163824,0.5343911902393944,0.2083492456533701,2.615547622405087,0.9476207623848966,4.137122588688368,0.9480408800178336
0.0479169406246443,3.3184805466700182,0.5486628462753598,0.2686622426994961,4.246350556937361,0.9219044189515924,6.22627212713069,0.9256306051408684
0.0784855101485645,3.1707291002562177,0.5666027666156024,0.3311170380225745,6.882541763604407,0.9020937291012916,9.18141493116704,0.9091088361884186
0.1614680957186447,3.0071894297460315,0.5851235610619003,0.3937489905087284,11.584534564580672,0.8867023114076861,11.634403523544218,0.8991992043486463
0.2269742693193376,2.9170796475077294,0.607508571722797,0.4664948136102688,15.785604857772745,0.8792256117427166,14.937716795111871,0.8920586242316566
0.3055398350649473,2.852194614585638,0.6308115939842778,0.5374690650810463,24.3236131622121,0.8728706895073479,19.51010404896651,0.8854721119285169
0.4183902898311072,2.7732115648821307,0.6515457876107991,0.5969121886318285,35.91678530903773,0.8708163491373178,35.91678530903773,0.8708163491373178
0.5799183136363414,2.708119035943485,0.6729724537388379,0.6560600502441486,43.61224826913026,0.8690362921513461,,
0.7941098458376082,2.6331257310248426,0.6950471611806255,0.7166842215487714,52.711897173494826,0.8672554429695595,,
1.1513598567803045,2.5483219872106395,0.722175329589655,0.7759218109657448,67.19676536324423,0.8661116524241881,,
1.532310524190268,2.4748957227013464,0.7502340399242523,0.8382596507365522,83.65986795808863,0.8663124304975565,,
2.2647123960816087,2.3740960379451894,0.7795637933621706,0.8963900078842978,103.87500507880245,0.8665107298292782,,
4.898985486651398,1.9321317176581645,0.8146635191137502,0.9589652064289876,145.63977660895733,0.8660716429171599,,
6.393341357432348,1.7455856760578057,0.8513436039819632,1.0215404049736785,239.20740974044068,0.8656823910694995,,
8.322790079980132,1.5592023167886595,0.8946306932422556,1.091040645198381,302.3989485402842,0.8642094072054464,,
14.60769830026772,1.137707663777343,0.94584024830536,1.15816517604159,406.3317295143722,0.8660526583730008,,
18.133361042950423,1.0159597244145613,0.9999517788912826,1.2258211783740285,492.9130058895293,0.8662296405265626,,
27.98193139815792,0.7556693576016454,1.0574689461117692,1.2881624658141777,611.1722741909981,0.8664266729458873,,
40.75349849469613,0.576906317305862,1.1183600572628465,1.349440810275869,838.6017000011957,0.8651439545930006,,
61.989746309907936,0.4370255524334815,1.1830001008804545,1.406998854312958,1079.907335136889,0.8645317831850063,,
107.53885673918998,0.2801865436358954,1.2586968838595367,1.4664329608823852,1451.352764312074,0.8655113011974003,,
170.37784627735294,0.1831501254499446,1.347006084012595,1.5286289157995314,1900.1827406022269,0.865758183865394,,
231.4939843532202,0.1389786059007841,1.4417574860408842,1.5877246203628426,2235.068209945041,0.8659069083641855,,
324.60546956828205,0.0992055794911301,1.5523012194209378,1.647532211815419,2576.1685104439844,0.8660370423006278,,
458.0122434156859,0.0708751672935998,1.6813056438160234,1.7069760930957258,3478.4508703375877,0.8656035118404585,,
669.5909192998349,0.0481280804832641,1.8319391803077307,1.7657715473345332,4549.005115017094,0.8648502208002729,,
1055.07278677757,0.030724534205428,2.0438628946411974,1.8260858704073288,6216.691832114763,0.864447759658419,,
1525.483297293646,0.0212550814258297,2.247505360003894,1.8692188659203968,8078.880815276258,0.8646878268772402,,
2580.775250402025,0.0122957241226939,2.4884277024981007,1.91729914639036,9741.61815542444,0.8648593034621126,,
3915.329063923184,0.0077274724091752,2.8059680356266705,1.964252545286806,,,,
5977.512079646196,0.0048123319972556,3.202382130347835,2.008016729494667,,,,
7825.777935583994,0.0036651279582883,3.8917030963236128,2.058836573287014,,,,
9670.788160988945,0.0028581092927278,5.2034150261200445,2.1254588907778365,,,,
,,8.201413024133357,2.2089831719516115,,,,
,,11.39702716731906,2.2427870993175167,,,,
,,17.090353470089283,2.285368467735976,,,,
,,22.832520029095207,2.3074070309869352,,,,
,,28.42350926936832,2.3186252166128742,,,,
,,38.67839847817042,2.330082087039366,,,,
,,55.86818045188018,2.336383365773936,,,,
,,65.96944204309891,2.3368289107349662,,,,
,,75.17169093824795,2.337178981775776,,,,
,,93.10698607948284,2.332437110404812,,,,
,,,,,,,
